selfies,y,fidelity,source_split
[N][#C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Branch1][Ring1][C][#N][C][O][C][=C][C][O][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][F][=C][Branch1][C][F][C][Branch1][Ring1][C][#N][=C][Ring1][N][O][C][=Ring1][S][C][=C][Ring2][Ring1][Ring2][O][C][Ring2][Ring1][S][=Ring2][Ring1][Branch2],2.9261,1,train
[C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Branch1][=Branch1][N][Branch1][C][C][C][C][=C][C][Ring1][=Branch2][=C][Ring1][=N],0.3058,1,train
[C][O][C][=Branch1][C][=O][C][Branch2][Ring1][=Branch2][C][C][=C][C][=C][O][C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=N][C][Ring1][O][=C][Ring1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C],1.1273,1,train
[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1],-1.9837,1,train
[C][C][Branch1][C][C][C][C][C][C][N][C][C][C][=C][Ring1][Branch1][C][=C][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch2][=O],0.4612,1,train
[C][=C][S][C][Branch2][Ring1][#Branch1][C][=C][N][=C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][C][=N][O][N][=C][Ring1][=C][Ring1][Branch1][=C][Ring2][Ring1][Ring1],2.0225,1,train
[N][#C][C][=C][C][Branch1][Ring1][C][#N][=C][Branch1][Ring1][C][#N][C][Branch2][Ring2][Branch2][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][S][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=N][Ring1][=Branch1][=C][C][=C][Ring1][N][N][Ring1][P][N][C][=C][C][=C][Ring1][Branch1][=C][Ring2][Ring2][Ring1][C][#N],2.4358,1,train
[Cl][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][C][Branch2][Ring2][Ring1][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][Branch1][=C][C][=C][C][=C][C][Ring2][Ring1][C][=C][Ring1][=Branch1][Ring1][S][=C][Ring1][N][Ring1][S][=N][Ring2][Ring2][C],1.5033,1,train
[O][=S][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][Branch2][Ring1][N][C][=C][C][=C][C][=C][C][=C][Branch1][N][C][=C][C][=C][C][Branch1][C][Br][=N][Ring1][#Branch1][C][Ring1][=N][=C][Ring1][P][=C][C][=C][Ring2][Ring1][#Branch1][Ring2][Ring2][C],1.7275,1,train
[C][C][=Branch1][C][=O][C][=C][C][=Branch2][Ring1][Ring1][=C][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][Ring1][=N][Ring1][=Branch2][C][C][C][Ring1][#C],0.0163,1,train
