selfies,y,source_split
125,[C][O][C][=C][C][=C][Branch2][Ring2][=N][C][=N][C][=C][Branch2][Ring1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][C][Ring1][N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][S],train
126,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],train
127,[N][#C][C][=C][C][=C][C][=C][NH1][C][Ring1][Branch1][=C][Ring1][=Branch2],train
128,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],train
129,[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],train
130,[O][=C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],train
131,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],train
132,[C][C][N][=C][Branch2][Ring1][Ring2][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=C][Ring1][#Branch2][O][N][C][=Ring1][S][C][C][C][C][Ring1][=Branch1],train
133,[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],train
134,[C][O][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Branch1][Ring1][O][C][C][=C][Ring1][N][C][=C][Branch1][C][C][C][=C][C][Branch1][Ring1][O][C][=C][Ring1][=Branch2][N][Ring1][N][C],train
0,[C][C][C][C][C][=C][C][Branch1][Branch2][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Branch1][Branch1][C][C][C][C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][=N][C][Ring2][Ring1][=Branch1][=C][Ring2][Ring1][Ring2][Ring1][=Branch1],test
1,[C][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][#Branch2][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Ring2][Ring1][C][=O],test
2,[C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][Branch2][Ring2][Ring2][C][=C][C][=C][Branch2][Ring1][Branch2][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][#Branch2][O][C][Ring1][=C][=O][C][=C][Ring2][Ring1][Branch1][C][=Branch1][C][=O][O][C][Ring2][Ring1][N][=C][Ring2][Ring2][C],test
3,[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch1][C][Br][=C][Branch1][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][NH1][Ring1][=Branch2][NH1][Ring1][#C][C][=C][Ring2][Ring1][Branch1][Ring2][Ring1][N],test
4,[N][C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1],test
5,[C][O][C][=N][C][Branch2][Ring1][N][N][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=C][C][Ring1][=N][=C][Ring1][O][Ring1][#Branch1][=N][C][Branch1][Ring1][O][C][=N][Ring2][Ring1][=Branch2],test
6,[O][=C][Branch1][C][O][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=C][C][Ring1][N][=C][Ring1][#Branch2][Ring1][=Branch1],test
7,[C][=C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][C][Ring1][#Branch2][=C][Ring1][=C],test
8,[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],test
9,[O][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][=N][C][=N][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2],test
10,[C][C][O][C][=C][C][=C][C][Branch2][Ring1][Branch1][C][=N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1][=N][O][Ring1][N][=C][C][=Branch1][C][=O][O][C][Ring2][Ring1][Ring1][=C][Ring2][Ring1][#Branch1],test
11,[N][#C][C][=C][C][=C][C][=C][NH1][C][Ring1][Branch1][=C][Ring1][=Branch2],test
12,[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][C][O][C][=N][N][=C][Branch1][C][Cl][N][=N][Ring1][#Branch1],test
13,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],test
14,[O][=C][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][#Branch2],test
