selfies,y,fidelity,source_split
[O][=C][C][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][Cl][=C][C][=C][Ring1][#Branch2][NH1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][Cl][C][=C][Ring2][Ring1][=Branch1][Ring1][#Branch2],8.8376,1,train
[F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][Branch1][C][F][Branch1][C][F][C][C][O][C][=N][N][=C][Branch1][C][Cl][N][=N][Ring1][#Branch1],9.1783,1,train
[O][=C][C][=C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][S][C][Ring2][Ring1][Branch2][=C][Ring1][=Branch1][Ring2][Ring1][=Branch1],6.0005,1,train
[C][C][=C][S][C][=Ring1][Branch1],9.0193,1,train
[C][O][C][=C][C][=C][Branch2][Ring1][O][C][=C][C][=C][Branch1][Ring2][S][Ring1][Branch1][C][Branch1][=Branch1][C][Branch1][C][C][=O][=C][C][=Branch1][C][=O][N][Ring1][O][C][C][=C][Ring2][Ring1][Ring2],7.3523,1,train
[C][C][Branch1][C][C][Branch1][C][C][C][C][=C][Branch2][Ring1][=C][C][=N][C][=C][C][Branch1][=C][N][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][=Branch2][=C][C][=C][Ring1][#C][O][Ring2][Ring1][C][C][=N][S][N][=C][Ring1][Branch1][C][=Ring2][Ring1][O],6.9071,1,train
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Ring1][#Branch2][C][=C][Branch1][C][Cl][C][Branch1][=C][C][=C][N][N][=C][N][=C][Ring1][Branch1][C][=N][Ring1][=Branch2][=C][Branch1][C][Cl][C][Branch1][#C][N][C][=C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][=C][Ring2][Ring1][O][Cl],6.5272,1,train
[N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],8.8053,1,train
[O][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][#Branch2][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1],7.0605,1,train
[N][#C][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][C][=C][Branch1][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][NH1][C][Ring2][Ring1][Ring2][=O],8.0532,1,train
[C][C][N][C][=C][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][=Branch1][C][=O][O][C][Ring1][O][=C][Ring1][#C],8.3836,1,train
[C][N][Branch1][C][C][C][=C][C][=C][Branch2][Ring1][Branch1][C][=C][C][=C][C][=Branch1][C][=O][C][Branch1][C][O][=C][O][C][Ring1][Branch2][=C][Ring1][N][C][=C][Ring2][Ring1][C],6.9805,1,train
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][C][=C][C][=C][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][#Branch2][Ring1][=Branch1][C][Ring1][N][N][Ring1][#C][C][=C][C][=C][C][=C][Ring1][=Branch1],7.1191,1,train
[C][C][C][C][C][C][C][C][C][C][C][C][O][C][=C][C][=C][C][Branch1][=Branch1][N][Branch1][C][C][C][=C][C][=C][Ring1][=Branch2][C][=C][Ring1][=N][C][=O],6.945,1,train
[O][=C][C][=C][C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][=C][C][=C][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][Branch1][=Branch2][N][C][C][C][C][C][Ring1][=Branch1][C][=C][C][=C][Ring2][Ring1][S][C][Ring2][Ring1][Branch2][=C][Ring1][=Branch1][Ring2][Ring1][=Branch1],6.0005,1,train
[O][=C][C][=C][C][Branch1][=C][C][#C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][C][=C][Ring1][#C][N][=C][C][=C][C][Branch1][=C][C][#C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][=C][N][Ring2][Ring1][S][Ring1][#C],7.036,1,train
[O][=C][C][=C][Branch1][S][N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][F][=C][Ring1][Branch2][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring2][Ring1][Ring2],8.0891,1,train
[C][O][C][=C][C][Branch1][Ring1][O][C][=C][C][=C][C][=Branch1][C][=O][O][C][Ring1][#Branch1][=C][Ring1][=N],8.2252,1,train
[O][=C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][C][=C][N][=C][C][=C][Ring1][=Branch1][Ring1][=C],8.4302,1,train
[O][=C][C][=C][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][=C][C][=C][Ring1][#Branch2][NH1][C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][Ring2][Ring1][=Branch1][Ring1][#Branch2],8.4423,1,train
[N][#C][C][=C][C][=C][Branch1][C][N][C][=N][O][N][=C][Ring1][#Branch2][Ring1][Branch1],9.1886,1,train
[N][#C][C][=C][C][=C][C][Branch1][C][N][=C][Ring1][#Branch1],8.5025,1,train
[N][#C][C][=C][Branch1][Ring1][C][#N][C][Branch1][Ring1][C][#N][=C][Branch2][Ring2][Branch1][C][=N][C][=N][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=N][C][=N][C][Branch1][Ring1][C][=O][=N][C][=Branch1][Branch1][=N][Ring2][Ring1][C][N][Ring1][=Branch2][Ring1][P][C][Branch1][Ring1][C][#N][=C][Ring2][Ring1][#C][C][#N],9.4712,1,train
[C][N][C][=C][C][=C][Ring1][Branch1][C][=C][C][Branch1][Ring1][C][#N][=C][C][=C][Ring1][Branch2][C][#N],8.1812,1,train
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O],9.8381,1,train
[N][#C][C][=C][C][=C][C][NH1][C][=C][C][Ring1][=Branch2][=Ring1][Branch1],8.2316,1,train
[C][C][=C][N][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=Branch1][C][=O][NH1][C][Ring1][O][=O],9.8381,1,train
[C][O][C][=Branch1][C][=O][C][Branch1][#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C][C][C][=C][C][=C][O][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][=N][C][Ring1][=N][=C][Ring1][P],7.8772,1,train
[O][=C][C][C][C][C][=C][Ring1][=Branch1][NH1][C][=C][C][=C][Branch1][#Branch1][C][=C][Ring1][=Branch2][Ring1][=Branch1][O][C][O][Ring1][#Branch1],7.6371,1,train
[N][#C][C][=C][C][=C][Branch2][Ring1][S][O][C][=C][C][=C][C][=C][Branch1][=Branch2][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][Ring2][C][C][O][C][Ring1][=C][=O][C][=C][Ring2][Ring1][=Branch2],8.0379,1,train
[C][C][Branch1][C][C][C][C][C][C][N][C][C][C][=C][Ring1][Branch1][C][=C][C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][C][C][C][C][Ring1][=Branch2][=O],6.693,1,train
[C][C][C][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][C][Branch1][=N][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][=C][C][=C][Ring1][=C][N][Branch1][Branch1][C][C][C][C][C][Ring2][Ring1][Branch1][=C][Ring2][Ring1][=Branch2][Ring2][Ring1][S],6.0835,1,train
[C][C][N][Branch1][Ring1][C][C][C][=C][C][=C][Branch2][Ring1][=Branch1][C][=C][C][=N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][#Branch2][S][Ring1][=N][C][=C][Ring2][Ring1][Branch1],6.4753,1,train
