target,pprop,hit_rate_mean,definition
target1,7.0,0.14166666666666666,4.75
target1,7.5,0.08771929824561403,4.75
target1,8.0,0.03571428571428571,4.75
target1,1.5,0.0,5.0
target1,2.0,0.0,5.0
target1,2.5,0.0,5.0
target1,3.0,0.0,5.0
target1,3.5,0.0,5.0
target1,4.5,0.011904761904761904,5.0
target1,5.0,0.00966183574879227,5.0
target1,5.5,0.04184100418410042,5.0
target1,6.0,0.08275862068965517,5.0
target1,6.5,0.06372549019607843,5.0
target1,7.0,0.10833333333333334,5.0
target1,7.5,0.08771929824561403,5.0
target1,8.0,0.03571428571428571,5.0
target1,1.5,0.0,5.25
target1,2.0,0.0,5.25
target1,2.5,0.0,5.25
target1,3.0,0.0,5.25
target1,3.5,0.0,5.25
target1,4.5,0.005952380952380952,5.25
target1,5.0,0.00966183574879227,5.25
target1,5.5,0.029288702928870293,5.25
target1,6.0,0.06896551724137931,5.25
target1,6.5,0.049019607843137254,5.25
target1,7.0,0.058333333333333334,5.25
target1,7.5,0.05263157894736842,5.25
target1,8.0,0.03571428571428571,5.25
target1,1.5,0.0,5.5
target1,2.0,0.0,5.5
target1,2.5,0.0,5.5
target1,3.0,0.0,5.5
target1,3.5,0.0,5.5
target1,4.5,0.005952380952380952,5.5
target1,5.0,0.00966183574879227,5.5
target1,5.5,0.02092050209205021,5.5
target1,6.0,0.06206896551724138,5.5
target1,6.5,0.024509803921568627,5.5
target1,7.0,0.025,5.5
target1,7.5,0.05263157894736842,5.5
target1,8.0,0.03571428571428571,5.5
target1,1.5,0.0,5.75
target1,2.0,0.0,5.75
target1,2.5,0.0,5.75
target1,3.0,0.0,5.75
target1,3.5,0.0,5.75
target1,4.5,0.005952380952380952,5.75
target1,5.0,0.00966183574879227,5.75
target1,5.5,0.008368200836820083,5.75
target1,6.0,0.027586206896551724,5.75
target1,6.5,0.004901960784313725,5.75
target1,7.0,0.016666666666666666,5.75
target1,7.5,0.05263157894736842,5.75
target1,8.0,0.03571428571428571,5.75
target1,1.5,0.0,6.0
target1,2.0,0.0,6.0
target1,2.5,0.0,6.0
target1,3.0,0.0,6.0
target1,3.5,0.0,6.0
target1,4.5,0.005952380952380952,6.0
target1,5.0,0.00966183574879227,6.0
target1,5.5,0.0,6.0
target1,6.0,0.027586206896551724,6.0
target1,6.5,0.0,6.0
target1,7.0,0.0,6.0
target1,7.5,0.05263157894736842,6.0
target1,8.0,0.0,6.0
target1,1.5,0.0,6.25
target1,2.0,0.0,6.25
target1,2.5,0.0,6.25
target1,3.0,0.0,6.25
target1,3.5,0.0,6.25
target1,4.5,0.005952380952380952,6.25
target1,5.0,0.0,6.25
target1,5.5,0.0,6.25
target1,6.0,0.013793103448275862,6.25
target1,6.5,0.0,6.25
target1,7.0,0.0,6.25
target1,7.5,0.017543859649122806,6.25
target1,8.0,0.0,6.25
target1,1.5,0.0,6.5
target1,2.0,0.0,6.5
target1,2.5,0.0,6.5
target1,3.0,0.0,6.5
target1,3.5,0.0,6.5
target1,4.5,0.0,6.5
target1,5.0,0.0,6.5
target1,5.5,0.0,6.5
target1,6.0,0.006896551724137931,6.5
target1,6.5,0.0,6.5
target1,7.0,0.0,6.5
target1,7.5,0.0,6.5
target1,8.0,0.0,6.5
